Date,DateKey,Year,Quarter,QuarterName,Month,MonthName,MonthShort,YearMonth,Day,DayOfWeek,DayName,IsWeekend,_gold_built_at
2021-06-22,20210622,2021,2,Q2,6,June,Jun,2021-06,22,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-06-23,20210623,2021,2,Q2,6,June,Jun,2021-06,23,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-06-24,20210624,2021,2,Q2,6,June,Jun,2021-06,24,4,Thursday,False,2026-06-24 00:14:59.277238
2021-06-25,20210625,2021,2,Q2,6,June,Jun,2021-06,25,5,Friday,False,2026-06-24 00:14:59.277238
2021-06-26,20210626,2021,2,Q2,6,June,Jun,2021-06,26,6,Saturday,True,2026-06-24 00:14:59.277238
2021-06-27,20210627,2021,2,Q2,6,June,Jun,2021-06,27,7,Sunday,True,2026-06-24 00:14:59.277238
2021-06-28,20210628,2021,2,Q2,6,June,Jun,2021-06,28,1,Monday,False,2026-06-24 00:14:59.277238
2021-06-29,20210629,2021,2,Q2,6,June,Jun,2021-06,29,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-06-30,20210630,2021,2,Q2,6,June,Jun,2021-06,30,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-07-01,20210701,2021,3,Q3,7,July,Jul,2021-07,1,4,Thursday,False,2026-06-24 00:14:59.277238
2021-07-02,20210702,2021,3,Q3,7,July,Jul,2021-07,2,5,Friday,False,2026-06-24 00:14:59.277238
2021-07-03,20210703,2021,3,Q3,7,July,Jul,2021-07,3,6,Saturday,True,2026-06-24 00:14:59.277238
2021-07-04,20210704,2021,3,Q3,7,July,Jul,2021-07,4,7,Sunday,True,2026-06-24 00:14:59.277238
2021-07-05,20210705,2021,3,Q3,7,July,Jul,2021-07,5,1,Monday,False,2026-06-24 00:14:59.277238
2021-07-06,20210706,2021,3,Q3,7,July,Jul,2021-07,6,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-07-07,20210707,2021,3,Q3,7,July,Jul,2021-07,7,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-07-08,20210708,2021,3,Q3,7,July,Jul,2021-07,8,4,Thursday,False,2026-06-24 00:14:59.277238
2021-07-09,20210709,2021,3,Q3,7,July,Jul,2021-07,9,5,Friday,False,2026-06-24 00:14:59.277238
2021-07-10,20210710,2021,3,Q3,7,July,Jul,2021-07,10,6,Saturday,True,2026-06-24 00:14:59.277238
2021-07-11,20210711,2021,3,Q3,7,July,Jul,2021-07,11,7,Sunday,True,2026-06-24 00:14:59.277238
2021-07-12,20210712,2021,3,Q3,7,July,Jul,2021-07,12,1,Monday,False,2026-06-24 00:14:59.277238
2021-07-13,20210713,2021,3,Q3,7,July,Jul,2021-07,13,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-07-14,20210714,2021,3,Q3,7,July,Jul,2021-07,14,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-07-15,20210715,2021,3,Q3,7,July,Jul,2021-07,15,4,Thursday,False,2026-06-24 00:14:59.277238
2021-07-16,20210716,2021,3,Q3,7,July,Jul,2021-07,16,5,Friday,False,2026-06-24 00:14:59.277238
2021-07-17,20210717,2021,3,Q3,7,July,Jul,2021-07,17,6,Saturday,True,2026-06-24 00:14:59.277238
2021-07-18,20210718,2021,3,Q3,7,July,Jul,2021-07,18,7,Sunday,True,2026-06-24 00:14:59.277238
2021-07-19,20210719,2021,3,Q3,7,July,Jul,2021-07,19,1,Monday,False,2026-06-24 00:14:59.277238
2021-07-20,20210720,2021,3,Q3,7,July,Jul,2021-07,20,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-07-21,20210721,2021,3,Q3,7,July,Jul,2021-07,21,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-07-22,20210722,2021,3,Q3,7,July,Jul,2021-07,22,4,Thursday,False,2026-06-24 00:14:59.277238
2021-07-23,20210723,2021,3,Q3,7,July,Jul,2021-07,23,5,Friday,False,2026-06-24 00:14:59.277238
2021-07-24,20210724,2021,3,Q3,7,July,Jul,2021-07,24,6,Saturday,True,2026-06-24 00:14:59.277238
2021-07-25,20210725,2021,3,Q3,7,July,Jul,2021-07,25,7,Sunday,True,2026-06-24 00:14:59.277238
2021-07-26,20210726,2021,3,Q3,7,July,Jul,2021-07,26,1,Monday,False,2026-06-24 00:14:59.277238
2021-07-27,20210727,2021,3,Q3,7,July,Jul,2021-07,27,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-07-28,20210728,2021,3,Q3,7,July,Jul,2021-07,28,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-07-29,20210729,2021,3,Q3,7,July,Jul,2021-07,29,4,Thursday,False,2026-06-24 00:14:59.277238
2021-07-30,20210730,2021,3,Q3,7,July,Jul,2021-07,30,5,Friday,False,2026-06-24 00:14:59.277238
2021-07-31,20210731,2021,3,Q3,7,July,Jul,2021-07,31,6,Saturday,True,2026-06-24 00:14:59.277238
2021-08-01,20210801,2021,3,Q3,8,August,Aug,2021-08,1,7,Sunday,True,2026-06-24 00:14:59.277238
2021-08-02,20210802,2021,3,Q3,8,August,Aug,2021-08,2,1,Monday,False,2026-06-24 00:14:59.277238
2021-08-03,20210803,2021,3,Q3,8,August,Aug,2021-08,3,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-08-04,20210804,2021,3,Q3,8,August,Aug,2021-08,4,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-08-05,20210805,2021,3,Q3,8,August,Aug,2021-08,5,4,Thursday,False,2026-06-24 00:14:59.277238
2021-08-06,20210806,2021,3,Q3,8,August,Aug,2021-08,6,5,Friday,False,2026-06-24 00:14:59.277238
